location_id,location_type,location_name,lat,long
79,college,Norfolk State University,36.8493825391082,-76.2626758441207
80,college,South University - Virginia Beach Campus,36.8336053166205,-76.1243543526166
81,college,Wytheville Community College,36.9568602164849,-81.0703542846722
82,college,Southeast Kentucky Community and Technical College - Middlesboro Campus,36.6124795941673,-83.7285013538994
83,college,Southwest Virginia Higher Education Center,36.696723529009,-82.0006449558029
84,college,Washington Baptist University ,38.8316690669207,-77.1864212023434
85,college,database,37.3587850471939,-79.1846313990922
86,college,Virginia Polytechnic Institute and State University,37.2290426109226,-80.4235204877614
87,college,John Tyler Community College - Chester Campus,37.345789501786,-77.4076292857125
88,college,Tidewater Community College - Virginia Beach Campus,36.7865783406156,-76.1014845165991
89,college,Tidewater Community College - Portsmouth Campus,36.9039251613516,-76.4357070075112
90,college,Virginia Western Community College,37.2452802371258,-79.9721902477291
91,college,George Mason University - Loudoun Campus,39.0249583313397,-77.3896939171101
92,college,Paul D. Camp Community College at Smithfield,36.9833496260945,-76.6381359230535
93,college,National College - Harrisonburg Campus,38.4347411876631,-78.8489029436916
94,college,Thomas Nelson Community College - Hampton Campus,37.0642195229123,-76.4189748846213
95,college,Virginia State University,37.2364979468021,-77.4198596722359
96,college,Sentara College of Health Sciences,36.7768681084457,-76.2427865346725
97,college,Germanna Community College - Daniel Technology Center,38.4571178894383,-77.9829735191759
98,college,Richard Bland College of the College of William and Mary,37.158162819175,-77.3933582062395
99,college,Bryant and Stratton College - Richmond Campus,37.4601970795525,-77.5422013493578
100,college,Concord University,37.4239399662954,-81.0054171667562
101,college,Park University - Quantico Campus,38.5064772224298,-77.3094191203399
102,college,Institute for Advanced Learning and Research,36.5742495789168,-79.3553848005365
103,college,Northern Virginia Community College - Medical Education Campus,38.7638161831815,-77.1760778133124
104,college,John Tyler Community College - Midlothian Campus,37.4896525992607,-77.6645195822474
105,college,Columbia College - Fairfax Campus,38.8783997350829,-77.2313856525428
106,college,Germanna Community College - Stafford County Center,38.4601059390406,-77.4037877383163
107,college,Northern Virginia Community College - Loudoun Campus,39.028662752865,-77.3921355721883
