elements__tags__name,elements__lat,elements__lon
Parthenon Concert Hall,39.0067349,-77.1835556
Mead Theatre Lab,38.8980494,-77.024906
Upton Hill Regional Park Amphitheatre,38.8709443,-77.142336
Sun Music Hall,36.9098059,-80.3199237
,39.0963774,-76.7381782
Lawn Theater,39.1669758,-77.2064199
Bowie Center for the Performing Arts,38.9779629,-76.7424236
Shakspeare Theatre Company - Sydney Harmon Hall,38.8971394,-77.0204359
Alden Theatre,38.9408471,-77.1839733
Dallas L Peck Memorial Auditorium,38.9476208,-77.3678558
Amphitheater,39.2566029,-77.2873901
Colony Theatre,38.808423,-82.2048333
Appomattox Courthouse Theatre,37.3555315,-78.8297705
Concert Pavilion,39.1403019,-77.1934408
Keith Albee,38.4208538,-82.442896
Paramount Arts Center,38.4801042,-82.6428993
Barter Theatre Stage II,36.7104499,-81.9735923
Armstrong Concert Hall,39.1668863,-78.158206
,37.9182466,-79.0096884
Carter Barron Amphitheatre,38.9502918,-77.0417345
PEPCO Community Stage,39.1450158,-77.2077411
,38.7648362,-77.3051582
Shenanigans Theatre,37.2356893,-76.6489504
Staunton Performing Arts Center,38.1497594,-79.0708948
Court Square Theater,38.449992,-78.8701892
Old Brick Playhouse,38.9257618,-79.8496511
American Mountain Theatre,38.925856,-79.851801
Poor Farm Amphitheater,37.781591,-77.5433317
The Jefferson Theatre,38.0305939,-78.4812538
Harborplace Amphetheatre,39.2858577,-76.6118743
Peak View Stage,38.5957152,-78.3810405
Amphitheater,38.5901656,-78.3840499
Amphitheatre,38.9638727,-77.7341754
Park Avenue Theatre,36.934128,-82.6289254
HATtheatre,37.5994417,-77.6233004
Colonial Theatre,36.7247209,-78.1301129
NextStop Theatre,38.9563566,-77.375205
Reston Community Players at RCC Center Stage,38.9366436,-77.3608085
Walker Theatre,38.3479828,-81.628811
Main Gate Movies,36.9412031,-76.3072386
Ampitheatre,37.2280387,-76.7905269
Dojo Comedy Club,38.9331082,-77.0236143
Live Arts Theatre,38.0299349,-78.4811773
Reston Community Players - Rehearsal Hall,38.9568691,-77.3736223
The Garage,38.0319734,-78.481041
Childrens Theater,39.0286301,-76.4296355
Actors Guild,39.2672554,-81.5573997
CBN News,38.9058389,-77.0443547
,36.9180742,-76.0543489
Wolfbane Performing Arts Center,37.322466,-78.857996
Amphitheatre,38.9358459,-80.8337016
Concert Hall,39.0318962,-77.1029647
Dorothy M. and Maurice C. Shapiro Music Room,39.0313941,-77.1044319
Drafthouse Comedy,38.9039224,-77.0300911
Lively Amphitheater,37.9730644,-81.1484314
,39.4176839,-76.5462949
Mercury Theater,39.3105426,-76.6163878
Craighill S Burks Theater,38.9237132,-77.1861414
The Estates at Horsepen Amphitheater,37.5970116,-77.5195406
Opera On The James,37.4163146,-79.1438351
,39.0208203,-77.01158
,38.0859558,-78.1402817
End Station Theatre Company,37.4139497,-79.1390938
Funny Bones Comedy Club,36.8424823,-76.1345999
The Anthem,38.880024,-77.0260142
