X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-76.091388095100982,36.823582315758536,459,14867736710000,Bow Creek Neighborhood Park,3427 CLUB HOUSE RD,,3468318.13821946,12187848.3327676,36.82358232,-76.09138809,City Park,
-76.047936127565634,36.759624244849284,460,24041532270000,Princess Anne Quarter,2360 FENWICK WAY,,3445367.2307093,12201167.4045546,36.75962424,-76.04793613,City Park,
-76.190749563799571,36.774430332876413,461,14549926280000,Centerville Park,1960 JOHN BROWN LN,,3449701.35655546,12159211.7384661,36.77443033,-76.19074956,City Park,
-76.172299525218165,36.782458483117374,462,14654248920000,Brigadoon Park,5277 LYNNHAVEN PKWY,,3452756.09618089,12164541.9213752,36.78245848,-76.17229952,City Park,
-76.16343448466715,36.784929131198304,463,14657317340000,Brigadoon Pines Park,,,3453719.47614388,12167115.0956908,36.78492913,-76.16343448,City Park,
-76.178957252402483,36.779121664447487,464,14652165810000,Brigadoon Woods Park,,,3451493.57672429,12162622.5876155,36.77912166,-76.17895725,City Park,
-76.026280941372988,36.871799779084618,465,24086652700000,Brighton On The Bay/Linkhorn C,1868 EDEN WAY,,3486360.09196489,12206439.0488669,36.87179978,-76.02628094,City Park,
-76.092651821686488,36.862278125235456,466,14887214350000,Brill Field Park,3500 KINGS GRANT RD,,3482392.67601521,12187119.3286482,36.86227813,-76.09265182,City Park,
-76.057331058251592,36.768393853692665,467,14948835520000,Buyrn Farms Park,2609 BUYRN CIR,,3448487.70019013,12198333.4833851,36.76839385,-76.05733106,City Park,
-76.062245053061517,36.91225330945057,468,15905057290000,Cape Story Park,,,3500810.07520397,12195542.2110806,36.91225331,-76.06224505,City Park,
-76.071945637319544,36.796938650362193,469,14953877770000,Cardinal Estates Park,1324 OLD CLUBHOUSE RD,,3458766.5641468,12193786.7979247,36.79693865,-76.07194564,City Park,
-76.170262629447407,36.827039696102048,470,14664970600000,Carolanne Park,5281 CHALLEDON DR,,3468997.20247813,12164737.7434901,36.8270397,-76.17026263,City Park,
-76.186181533561793,36.806954735752747,471,14660116800000,Cedar Hill Park,,,3461572.19337805,12160259.0703609,36.80695474,-76.18618153,City Park,
-76.122266323841572,36.771426136245431,472,14749930190000,Champion Oaks Park,1909 STILLMEADOW CT,,3449105.79967572,12179291.3229787,36.77142614,-76.12226632,City Park,
-76.182720776624663,36.770916645618847,473,14641864360000,Charlestown Athletic Community Park,5592 LYNNHAVEN PKWY,,3448480.07914238,12161594.0017461,36.77091665,-76.18272078,City Park,
-76.179888117242626,36.780698805205084,474,14652230470000,Charlestown East Park,1760 LEGARE LN,,3452060.91515654,12162335.932677,36.78069881,-76.17988812,City Park,
-76.177521710442477,36.763937733423695,475,14643611790000,Charlestown Lakes South Park,1052 KINDERLY LN,,3445977.35120821,12163178.8834189,36.76393773,-76.17752171,City Park,
