name,@lat,@lon
Bar Symon,38.9453607,-77.4509410
Peter's,39.2883616,-76.6129808
The Water Street Tavern,39.2882462,-76.6133419
The Wharf Rat,39.2825805,-76.5910662
Fells Point Tavern,39.2812265,-76.5947658
Rocket to Venus,39.3285474,-76.6295091
Ottobar,39.3188574,-76.6196694
13.5% Wine Bar,39.3309353,-76.6343895
Hon Bar,39.3312352,-76.6328312
Portside,39.2798971,-76.5760074
Liberty Bar,37.5431305,-77.4370100
The Wine Harvest,39.1224573,-77.2348261
Dante's Bar-Art-Music,39.6575543,-78.9285423
Honi-Honi Bar,39.5046084,-79.3249268
Golden Sports Bar,39.2773830,-76.8174590
Town Hall Liquors,38.9908738,-76.9334482
Conah's Bar & Grille,39.5732155,-76.9941709
Angles Bar,38.9206640,-77.0416197
Red Red Wine Bar,38.9778461,-76.4906898
Stan & Joe's Saloon,38.9782357,-76.4947858
Charlie's Bar,38.9771253,-76.4871950
Sandman's,39.2839931,-76.5680678
a.lounge,38.8999620,-77.0401700
Tiki Bar,39.2775649,-76.5784972
A-Town Bar & Grill,38.8821838,-77.1096373
Full Moon Tavern,38.7752861,-80.2095320
Highline RxR,38.8558140,-77.0496890
Sandy's,38.3679260,-81.6977170
Kislings Tavern,39.2849464,-76.5868352
The Pub,38.9336386,-77.1801364
Rum Runners,38.7506237,-77.4712836
Jackpot,38.8991219,-77.0221972
Sports Bar,37.4660303,-77.4285871
KD's Pub and Grub,39.6274946,-79.9528597
Kardinal Hall,38.0359561,-78.4878299
Bent Willey's,39.6321217,-79.9554658
Peggy Sue's Bar,37.8924730,-81.1689966
Fat Daddy's Bar & Grill,39.6317275,-79.9549506
RockTop Bar & Grill,39.6309025,-79.9564125
Chemistry,36.8497445,-75.9756250
Mai Bar,36.8510119,-75.9762171
The Boxx,36.8496906,-75.9756092
Lost and Found,38.9068745,-77.0241689
High Velocity,38.9040184,-77.0242313
,39.4369554,-77.8041537
Vino Volo,39.1798800,-76.6725160
Mad Annie's Tavern,38.6986182,-80.6626075
Finnegan’s Bar & Grill,39.0446097,-77.4756281
Midlands Beer Garden,38.9319730,-77.0234280
Reliable Tavern,38.9360670,-77.0240637
The Dew Drop Inn,38.9259285,-76.9947194
123 Pleasant Street,39.6295396,-79.9579303
The Gryphon,38.9082613,-77.0423275
Southside Saloon,39.2729763,-76.6074137
,38.2377443,-76.5025459
,38.2396563,-76.5230295
,38.2244953,-76.5184525
Chief's,38.1655591,-76.5343991
Sonoma's,39.1865314,-76.8436922
Hank's Cocktail Bar,38.9420896,-77.0241586
2010 Lounge,38.9173863,-77.0242088
